id,secCode,secName,orgId,announcementId,announcementTitle,announcementTime,adjunctUrl,adjunctSize,adjunctType,storageTime,columnId,pageColumn,announcementType,associateAnnouncement,important,batchNum,announcementContent,orgName,tileSecName,shortTitle,announcementTypeName,secNameList
,000002,万  科Ａ,gssz0000002,1203197044,2016年年度报告,1490544000000,finalpage/2017-03-27/1203197044.PDF,7094,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,万  科Ａ,2016年年度报告,,
,000001,平安银行,gssz0000001,1203167521,2016年年度报告摘要,1489680000000,finalpage/2017-03-17/1203167521.PDF,664,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,平安银行,2016年年度报告摘要,,
,000001,平安银行,gssz0000001,1203167519,2016年年度报告,1489680000000,finalpage/2017-03-17/1203167519.PDF,1036,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1203167655,,,,,平安银行,2016年年度报告,,
,000002,万  科Ａ,gssz0000002,1204519142,2017年年度报告摘要,1522080000000,finalpage/2018-03-27/1204519142.PDF,448,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,万  科Ａ,2017年年度报告摘要,,
,000002,万  科Ａ,gssz0000002,1204519141,2017年年度报告,1522080000000,finalpage/2018-03-27/1204519141.PDF,17085,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,万  科Ａ,2017年年度报告,,
,000001,平安银行,gssz0000001,1202033389,2015年年度报告摘要,1457539200000,finalpage/2016-03-10/1202033389.PDF,752,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,平安银行,2015年年度报告摘要,,
,000001,平安银行,gssz0000001,1202033390,2015年年度报告,1457539200000,finalpage/2016-03-10/1202033390.PDF,3577,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202033933,,,,,平安银行,2015年年度报告,,
,000006,深振业Ａ,gssz0000006,1203224888,2016年年度报告摘要,1490803200000,finalpage/2017-03-30/1203224888.PDF,370,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,深振业Ａ,2016年年度报告摘要,,
,000006,深振业Ａ,gssz0000006,1203224890,2016年年度报告,1490803200000,finalpage/2017-03-30/1203224890.PDF,3808,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,深振业Ａ,2016年年度报告,,
,000001,平安银行,gssz0000001,1209224370,2020年年度报告,1612195200000,finalpage/2021-02-02/1209224370.PDF,4914,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,平安银行,2020年年度报告,,
,000001,平安银行,gssz0000001,1209224367,2020年年度报告摘要,1612195200000,finalpage/2021-02-02/1209224367.PDF,852,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,平安银行,2020年年度报告摘要,,
,300001,特锐德,9900008270,1211948802,2020年年度报告（更新后）,1639746219000,finalpage/2021-12-17/1211948802.PDF,5300,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2020年年度报告（更新后）,,
,300001,特锐德,9900008270,1211948786,2017年年度报告（更新后）,1639746218000,finalpage/2021-12-17/1211948786.PDF,4371,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2017年年度报告（更新后）,,
,300001,特锐德,9900008270,1211948787,2017年年度报告摘要（更新后）,1639746218000,finalpage/2021-12-17/1211948787.PDF,543,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2017年年度报告摘要（更新后）,,
,300001,特锐德,9900008270,1211948789,2018年年度报告摘要（更新后）,1639746218000,finalpage/2021-12-17/1211948789.PDF,328,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2018年年度报告摘要（更新后）,,
,300001,特锐德,9900008270,1211948792,2020年年度报告摘要（更新后）,1639746218000,finalpage/2021-12-17/1211948792.PDF,703,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2020年年度报告摘要（更新后）,,
,300001,特锐德,9900008270,1211948788,2018年年度报告（更新后）,1639746218000,finalpage/2021-12-17/1211948788.PDF,4568,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2018年年度报告（更新后）,,
,300001,特锐德,9900008270,1211948790,2019年年度报告（更新后）,1639746218000,finalpage/2021-12-17/1211948790.PDF,5144,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2019年年度报告（更新后）,,
,300001,特锐德,9900008270,1211948791,2019年年度报告摘要（更新后）,1639746218000,finalpage/2021-12-17/1211948791.PDF,462,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2019年年度报告摘要（更新后）,,
,300001,特锐德,9900008270,1211948784,2016年年度报告（更新后）,1639746217000,finalpage/2021-12-17/1211948784.PDF,4093,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2016年年度报告（更新后）,,
,300001,特锐德,9900008270,1211948785,2016年年度报告摘要（更新后）,1639746217000,finalpage/2021-12-17/1211948785.PDF,386,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,特锐德,2016年年度报告摘要（更新后）,,
,002719,*ST麦趣,9900023119,1211934925,2020年年度报告（更新后）,1639670400000,finalpage/2021-12-17/1211934925.PDF,3069,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,*ST麦趣,2020年年度报告（更新后）,,
,002531,天顺风能,9900016748,1211877769,2020年年度报告（更新后）,1639152000000,finalpage/2021-12-11/1211877769.PDF,3339,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,天顺风能,2020年年度报告（更新后）,,
,600322,天房发展,gssh0600322,1211820290,天房发展2020年年度报告摘要（修订版）,1638806400000,finalpage/2021-12-07/1211820290.PDF,858,PDF,,250401||250402||251302,SHZB,010113||01010503||01030140,,,,,,天房发展,天房发展2020年年度报告摘要（修订版）,,
,600322,天房发展,gssh0600322,1211820291,天房发展2020年年度报告（修订版）,1638806400000,finalpage/2021-12-07/1211820291.PDF,3878,PDF,,250401||250402||251302,SHZB,010113||01010503||01030140,,,,,,天房发展,天房发展2020年年度报告（修订版）,,
,000670,*ST盈方,gssz0000670,1211781024,2020年年度报告（已取消）,1638460800000,finalpage/2021-12-03/1211781024.PDF,3250,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,*ST盈方,2020年年度报告（已取消）,,
,300526,中潜股份,9900023840,1211723021,2019年年度报告（更新后）,1638187395000,finalpage/2021-11-29/1211723021.PDF,3455,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,中潜股份,2019年年度报告（更新后）,,
,300526,中潜股份,9900023840,1211723019,2020年年度报告（更新后）,1638187395000,finalpage/2021-11-29/1211723019.PDF,3508,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,中潜股份,2020年年度报告（更新后）,,
,002554,惠博普,9900018066,1211706930,2020年年度报告（更新后）,1637898401000,finalpage/2021-11-26/1211706930.PDF,4162,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,惠博普,2020年年度报告（更新后）,,
,002310,东方园林,9900009031,1211588699,2020年年度报告（更新后）,1636992000000,finalpage/2021-11-16/1211588699.PDF,4131,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,东方园林,2020年年度报告（更新后）,,
,002310,东方园林,9900009031,1211588698,2019年年度报告（更新后）,1636992000000,finalpage/2021-11-16/1211588698.PDF,4753,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,东方园林,2019年年度报告（更新后）,,
,002682,龙洲股份,9900022781,1211559905,2020年年度报告（更新后）,1636646400000,finalpage/2021-11-12/1211559905.PDF,3838,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,龙洲股份,2020年年度报告（更新后）,,
,002682,龙洲股份,9900022781,1211559904,2019年年度报告摘要（更新后）,1636646400000,finalpage/2021-11-12/1211559904.PDF,276,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,龙洲股份,2019年年度报告摘要（更新后）,,
,002682,龙洲股份,9900022781,1211559906,2020年年度报告摘要（更新后）,1636646400000,finalpage/2021-11-12/1211559906.PDF,285,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,龙洲股份,2020年年度报告摘要（更新后）,,
,002682,龙洲股份,9900022781,1211559903,2019年年度报告（更新后）,1636646400000,finalpage/2021-11-12/1211559903.PDF,3944,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,龙洲股份,2019年年度报告（更新后）,,
,002436,兴森科技,9900012934,1211479530,2020年年度报告（更新后）,1635955200000,finalpage/2021-11-04/1211479530.PDF,4088,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,兴森科技,2020年年度报告（更新后）,,
,300537,广信材料,9900028811,1211419882,2018年年度报告（更新后）,1635436800000,finalpage/2021-10-29/1211419882.PDF,3119,PDF,,09020202||160203||160207||250301||250302||251302,SZCY,01010503||010112||010115||01030140,,,,,,广信材料,2018年年度报告（更新后）,,
