company,code,type,year,date,pdf,title
上海机场,600009,年报,2021,2021-03-27,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-27/600009_20210327_2.pdf,上海机场2020年年度报告
上海机场,600009,年报摘要,2022,2022-04-16,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-16/600009_20220416_12_iOBvQZTy.pdf,上海机场2021年度非经营性资金占用及其他关联资金往来情况的专项报告
上海机场,600009,年报摘要,2022,2022-04-16,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-16/600009_20220416_13_H4gdTrBy.pdf,上海机场2021年度营业收入扣除情况表的鉴证报告
上海机场,600009,年报摘要,2022,2022-04-16,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-16/600009_20220416_4_sVemELBe.pdf,上海机场2021年年度报告摘要
上海机场,600009,年报,2022,2022-04-16,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-16/600009_20220416_5_9m6rfThr.pdf,上海机场2021年年度报告
上海机场,600009,年报,2023,2023-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-29/600009_20230429_IZQC.pdf,上海机场2022年年度报告
上海机场,600009,年报摘要,2023,2023-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-29/600009_20230429_JG8H.pdf,上海机场2022年年度报告摘要
上海机场,600009,年报,2024,2024-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-03-30/600009_20240330_179O.pdf,上海机场2023年年度报告
上海机场,600009,年报摘要,2024,2024-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-03-30/600009_20240330_N8RG.pdf,上海机场2023年年度报告摘要
包钢股份,600010,年报摘要,2016,2016-08-26,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-08-26/600010_2016_nzy.pdf,包钢股份2016年半年度报告摘要
包钢股份,600010,年报,2015,2016-04-20,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-20/600010_2015_n.pdf,包钢股份年报
包钢股份,600010,年报摘要,2015,2016-04-20,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-20/600010_2015_nzy.pdf,包钢股份年报摘要
包钢股份,600010,年报,2016,2017-04-21,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-21/600010_2016_n.pdf,包钢股份2016年年度报告
包钢股份,600010,年报摘要,2016,2017-04-21,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-21/600010_2016_nzy.pdf,包钢股份2016年年度报告摘要
包钢股份,600010,年报,2017,2018-05-03,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-05-03/600010_2017_nA.pdf,包钢股份2017年年度报告（修订版）
包钢股份,600010,年报,2017,2018-04-20,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-20/600010_2017_n.pdf,包钢股份2017年年度报告
包钢股份,600010,年报摘要,2017,2018-04-20,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-20/600010_2017_nzy.pdf,包钢股份2017年年度报告摘要
包钢股份,600010,年报,2018,2019-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-04-19/600010_2018_n.pdf,包钢股份2018年年度报告
包钢股份,600010,年报摘要,2018,2019-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-04-19/600010_2018_nzy.pdf,包钢股份2018年年度报告摘要
包钢股份,600010,年报摘要,2019,2020-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-30/600010_20200430_46.pdf,包钢股份2019年年度报告摘要
包钢股份,600010,年报,2019,2020-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-30/600010_20200430_47.pdf,包钢股份2019年年度报告
包钢股份,600010,年报摘要,2021,2021-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-04-30/600010_20210430_10.pdf,包钢股份2020年年度报告摘要
包钢股份,600010,年报,2021,2021-04-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-04-30/600010_20210430_11.pdf,包钢股份2020年年度报告
包钢股份,600010,年报摘要,2022,2022-04-15,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-15/600010_20220415_26_eZ2tO293.pdf,包钢股份2021年年度报告摘要
包钢股份,600010,年报,2022,2022-04-15,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-15/600010_20220415_27_TYU4k9Pm.pdf,包钢股份2021年年度报告
包钢股份,600010,年报摘要,2022,2022-04-15,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-15/600010_20220415_34_kruAr68V.pdf,包钢股份2021年度内部控制审计报告
包钢股份,600010,年报摘要,2023,2023-04-22,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-22/600010_20230422_4C8Q.pdf,包钢股份2022年年度报告摘要
包钢股份,600010,年报,2023,2023-04-22,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-22/600010_20230422_FYH1.pdf,包钢股份2022年年度报告
包钢股份,600010,年报摘要,2024,2024-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-04-19/600010_20240419_FD7T.pdf,包钢股份2023年年度报告摘要
包钢股份,600010,年报,2024,2024-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-04-19/600010_20240419_PJNC.pdf,包钢股份2023年年度报告
