CS488047707,,,,,,,,,
CS488297133,USD,2023/10/4,354.9,10897057,2023/10/11,OMS,,AP,
CS488297133,USD,2023/10/4,300.3,11186090,2023/10/18,OMS,,AP,
CS488002483,,,,,,,,,
CS488002483,USD,2023/10/5,547.03,10897057,2023/10/11,OMS,,AP,
CS488121719,,,,,,,,,
CS488121719,USD,2023/10/5,547.03,10897057,2023/10/11,OMS,,AP,
CS488121719,USD,2023/12/6,-547.03,12015881,2023/12/6,OMS,,AP,
CS488121719,USD,2023/12/6,-50,12015881,2023/12/6,OMS,,AP,
CS488121719_43457220,USD,2024/1/9,547.03,200003615210002000,2024/1/30,OMS,16,AP,
CS488121719_43457221,USD,2024/1/9,50,200003615210002000,2024/1/30,OMS,16,AP,
CS488344728,,,,,,,,,
CS488344728,USD,2023/10/5,547.03,10897057,2023/10/11,OMS,,AP,
CA488367382,,,,,,,,,
CA488367382,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CA488485535,,,,,,,,,
CA488485535,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488014391,,,,,,,,,
CS488014391,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488033821,,,,,,,,,
CS488033821,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488088396,,,,,,,,,
CS488088396,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488148487,,,,,,,,,
CS488148487,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488245246,,,,,,,,,
CS488245246,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488348039,,,,,,,,,
CS488348039,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488378484,,,,,,,,,
CS488378484,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488381566,,,,,,,,,
CS488381566,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488397719,,,,,,,,,
CS488397719,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488465146,,,,,,,,,
CS488465146,USD,2023/10/5,575.86,10897057,2023/10/11,OMS,,AP,
CS488346285,,,,,,,,,
488346285,USD,2023/10/30,181.99,11546010,2023/11/6,OMS,,AP,
CS488346285,USD,2023/10/4,182,10897057,2023/10/11,OMS,,AP,
CS488346285,USD,2023/10/4,90.09,11186090,2023/10/18,OMS,,AP,
CS488443085,,,,,,,,,
CS488443085,USD,2023/10/4,454.09,10897057,2023/10/11,OMS,,AP,
CS488221860,,,,,,,,,
CS488221860,USD,2023/10/7,272.09,10982635,2023/10/16,OMS,,AP,
CS488221860,USD,2023/10/7,182,11186090,2023/10/18,OMS,,AP,
CS488027447,,,,,,,,,
CS488027447,USD,2023/10/2,258.74,10816893,2023/10/9,OMS,,AP,
CS488088477,,,,,,,,,
CS488088477,USD,2023/10/2,242.57,10816893,2023/10/9,OMS,,AP,
CA488037113,,,,,,,,,
CA488037113,USD,2023/10/2,129.01,10816893,2023/10/9,OMS,,AP,
CA488037112,,,,,,,,,
CA488037112,USD,2023/10/2,129.73,10816893,2023/10/9,OMS,,AP,
CA488340836,,,,,,,,,
CA488340836,USD,2023/10/2,123.8,10816893,2023/10/9,OMS,,AP,
CA488340836,USD,2023/11/9,-47.84,11628961,2023/11/10,OMS,,AP,
CA488340836,USD,2023/11/14,-0.62,11722548,2023/11/14,OMS,,AP,
CA488340835,,,,,,,,,
CA488340835,USD,2023/10/2,124.49,10816893,2023/10/9,OMS,,AP,
CS488303619,,,,,,,,,
CS488303619,USD,2023/10/2,255.19,10816893,2023/10/9,OMS,,AP,
CS488342278,,,,,,,,,
CS488342278,USD,2023/10/2,239.25,10816893,2023/10/9,OMS,,AP,
CA488399162,,,,,,,,,
CA488399162,USD,2023/10/2,119.95,10816893,2023/10/9,OMS,,AP,
CA488399164,,,,,,,,,
CA488399164,USD,2023/10/2,119.3,10816893,2023/10/9,OMS,,AP,
CS488027580,,,,,,,,,
CS488027580,USD,2023/10/2,244.28,10816893,2023/10/9,OMS,,AP,
CA488261108,,,,,,,,,
CA488261108,USD,2023/10/2,116.84,10816893,2023/10/9,OMS,,AP,
CA488261109,,,,,,,,,
CA488261109,USD,2023/10/2,117.57,10816893,2023/10/9,OMS,,AP,
CA488359394,,,,,,,,,
CA488359394,USD,2023/10/2,116.84,10816893,2023/10/9,OMS,,AP,
CA488359395,,,,,,,,,
CA488359395,USD,2023/10/2,117.57,10816893,2023/10/9,OMS,,AP,
CS488045645,,,,,,,,,
CS488045645,USD,2023/10/5,77.81,10897057,2023/10/11,OMS,,AP,
CS488112951,,,,,,,,,
CS488112951,USD,2023/10/4,515.23,10897057,2023/10/11,OMS,,AP,
CS488363540,,,,,,,,,
CS488363540,USD,2023/10/4,515.23,10897057,2023/10/11,OMS,,AP,
CS488377378,,,,,,,,,
CS488377378,USD,2023/10/4,515.23,10897057,2023/10/11,OMS,,AP,
CS488087500,,,,,,,,,
