11628598,11/10/2023,CA494255632,USD,$139.28,494255632
11628598,11/10/2023,CA494255632_1,USD,$389.03,494255632
11628598,11/10/2023,CA494255632_2,USD,$93.36,494255632
11628598,11/10/2023,CA494504277,USD,$77.81,494504277
11628598,11/10/2023,CA494504277_1,USD,$389.03,494504277
11628598,11/10/2023,CA494504277_2,USD,$154.83,494504277
11628598,11/10/2023,CS494051644,USD,$77.81,494051644
12172763,12/14/2023,CS494051644,USD,$-10.19,494051644
11628598,11/10/2023,CS494051644_1,USD,$450.50,494051644
11628598,11/10/2023,CS494051644_2,USD,$93.36,494051644
11628598,11/10/2023,CS494209451,USD,$778.03,494209451
11628598,11/10/2023,CS494209451_1,USD,$155.61,494209451
11628598,11/10/2023,CS494209451_2,USD,$309.67,494209451
11628598,11/10/2023,CS494347880,USD,$77.81,494347880
11628598,11/10/2023,CS494347880_1,USD,$450.50,494347880
11628598,11/10/2023,CS494347880_2,USD,$93.36,494347880
11628598,11/10/2023,CS494384388,USD,$77.81,494384388
11628598,11/10/2023,CS494384388_1,USD,$139.28,494384388
11628598,11/10/2023,CS494384388_2,USD,$404.58,494384388
11628598,11/10/2023,CS494519009,USD,$77.81,494519009
11628598,11/10/2023,CS494519009_1,USD,$372.69,494519009
11628598,11/10/2023,CS494519009_2,USD,$93.36,494519009
11628598,11/10/2023,CS494519009_3,USD,$77.81,494519009
11628598,11/10/2023,CS492208049,USD,$552.54,492208049
11628598,11/10/2023,CS492208049_1,USD,$450.64,492208049
11706385,11/14/2023,CA494182994,USD,$61.47,494182994
11706385,11/14/2023,CA494182994_1,USD,$466.84,494182994
11706385,11/14/2023,CA494182994_2,USD,$93.36,494182994
11706385,11/14/2023,CA494182994,USD,$528.31,494182994
11706385,11/14/2023,CS494098889_1,USD,$93.36,494098889
11706385,11/14/2023,CS494098889,USD,$528.31,494098889
