序号,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,收益,ROE,同比,净资产,总股本,净利率,总营收,流通股,负债率,净利润,PE(动),总值,毛利率,流值,每股未分配利润
154,000570,苏常柴A,4.64,-2.315789473684,24.60006614,31.78849621,0.99170589,0.295110673955,1.49182896,-100.16902909,汽车零部件,0.192449758,4.21,28.473593230244,4.6788065,705692507.0,7.941356926400001,1723822161.11,498874326.0,37.5395432159,135810351.96,18.2,3295584007.69,11.3431978299,2329743102.42,1.402420837281
155,000571,ST大洲,2.32,-0.429184549356,-332.41598161,-12.8060622,3.99670925,-12.473822422127,1.32226244,3.38938477,煤炭行业,0.093239873,17.29,215.189000718252,0.5804776,814064000.0,22.775875543599998,1051764862.35,814036325.0,63.8474317197,75903224.13,18.98,1921191040.0,53.3225482773,1921125727.0,-1.362649659879
156,000572,海马汽车,4.77,-0.831600831601,89.41849745,70.24572375,2.25392787,-9.395862429668,3.30049284,15.49159716,汽车整车,-0.118554749,-5.45,-14.000511803147,2.1163055,1644636426.0,-12.552155588,1752888292.19,1642155224.0,44.8238330554,-194979458.44,-30.56,7943593937.58,15.9707556185,7931609731.92,-1.272340341694
157,000573,粤宏远A,4.25,1.190476190476,50.57759219,19.29105533,1.63414299,0.041044374015,2.68006155,-18.82088079,房地产开发,0.072891165,2.74,-65.152392028409,2.6007516,638280604.0,5.4579574429,759864320.01,632930025.0,36.7921122104,46525017.02,43.52,2699926954.92,9.3832947518,2677294005.7500005,0.358633733949
158,000576,甘化科工,10.02,0.0999000999,639.30132492,139.28803586,2.59671225,-6.61954434578,12.0037327,100.97200664,综合行业,0.163557774,4.35,-25.595247553206,3.8587256,442861324.0,24.957976561600002,294696138.12,429489267.0,11.0380866774,72433412.37,46.63,4503899665.08,59.1023039125,4367905845.39,1.197900917015
159,000581,威孚高科,17.73,-0.225098480585,8.979029,6.94367276,0.93553372,-1.308823598726,1.56819125,-5.60514221,汽车零部件,1.533022331,7.96,-27.407701450467,18.9517488,1008603293.0,15.807148957299999,10094925974.98,824201457.0,37.4310891271,1546211371.25,8.68,17892622417.82,17.2979857069,14621333847.179998,14.626106401489
160,000582,北部湾港,7.26,-1.759133964817,12.1421333,12.51251084,1.03104058,-2.644166044622,2.03502486,5.54726564,航运港口,0.437811071,6.39,4.212853391354,7.0414299,1772157366.0,18.7436743974,4554324144.47,1407981784.0,49.1012480822,775870114.62,12.56,12989913492.78,34.3009574265,10320506476.72,3.24281058456
161,000584,哈工智能,7.02,-1.95530726257,-5.38352576,-9.08591414,4.02505949,4.6983182e-05,3.41964412,43.62636436,专用设备,-0.646810979,-31.25,-460.216435696622,1.7440736,760937577.0,-52.333072821,1019387369.35,745978963.0,70.8303144868,-492182779.49,-8.05,5280906784.38,8.7747934867,5177094003.22,-0.962014855471
162,000586,汇源通信,8.25,-3.169014084507,71.18720968,61.04805468,5.08205703,14.346192004532,3.70320269,144.57133483,通信设备,0.097952659,6.22,-16.422998996743,1.6233584,193440000.0,6.5042356541999995,309244766.63,193440000.0,44.7685722721,18947962.29,63.47,1603617599.9999998,32.6795232208,1603617599.9999998,0.196649819686
163,000587,*ST金洲,0.98,-4.854368932039,-1.95390995,-1.36475865,41.39171887,-0.000779646222,30.67000867,284.35630555,珠宝首饰,-0.025900729,-48.35,89.315673581606,0.0236762,2123749330.0,-88.5030266945,62152288.26,1213011850.0,95.3269493434,-55006656.27,-26.93,1975086876.9,4.2938659134,1128101020.5,-3.910033473663
164,000589,贵州轮胎,4.79,0.63025210084,14.53020512,14.86613762,0.88357642,-0.56995684201,0.67055659,-28.70447204,橡胶制品,0.222595798,4.12,3.462449438053,5.4211496,1147500066.0,4.1120818778,6251537340.18,1129669266.0,59.5786047102,255428692.42,16.24,5530950318.12,15.510984767,5445005862.12,1.733289997615
165,000590,启迪药业,9,-4.357066950053,178.53569195,60.81620547,3.0965169,3.822520442594,4.72447766,432.60478049,中药,0.065557469,2.28,-59.813792619958,2.9064915,239471267.0,4.2555765309,371821645.67,239376227.0,38.6417539875,15699130.16,101.36,2121715425.62,32.6811722435,2120873371.2199998,-0.264801672094
166,000591,太阳能,7.24,-5.606258148631,24.6264596,23.96823307,1.31064285,1.734375385942,3.68070112,15.07862108,电力行业,0.297908498,6.93,-2.63863731774,5.5240068,3909227441.0,19.965221755800002,5889828909.8,3007062557.0,53.2675012318,1164592076.54,18.5,28732821691.35,40.3868846325,22101909793.95,1.447505575875
167,000592,平潭发展,2.57,-1.153846153846,-11.53398274,-12.81929207,1.90343295,0.084521263274,3.87443577,94.65590465,农牧饲渔,0.00575609,0.43,-79.513379194823,1.350192,1931780892.0,1.2935368301,828743751.3,1913936915.0,39.8927282364,11119504.38,338.77,5022630319.2,8.4654212837,4976235979.0,-0.401676157298
168,000593,德龙汇能,7.48,-2.222222222222,59.55623886,53.12795885,2.47011946,1.440256118484,1.81128727,12.90985891,燃气,0.09430911,3.16,-13.877437721201,3.0281936,358631009.0,3.1575082791,1051027407.89,358456319.0,47.4011723935,33822171.18,59.56,2686146257.41,15.2842188723,2684837829.31,0.113101257956
169,000595,宝塔实业,6.86,2.388059701493,-47.68513232,-44.05563331,10.95307819,-0.000600768553,36.65854538,-87.54523878,通用设备,-0.036987555,-5.75,24.266991942589,0.626308,1138656366.0,-24.004097800900002,172598362.97,1138084204.0,39.2407943546,-42116114.46,-137.28,7708703597.82,-1.0445368247,7704830061.08,-0.995653627734
170,000596,古井贡酒,269.34,0.5,48.23506903,61.95807918,7.9114066,2.007268556077,8.93618547,22.37034295,酿酒行业,4.961577156,14.69,33.203643813306,34.0445149,528600000.0,21.220502573,12764649465.86,408600000.0,38.9631115886,2622689684.69,40.57,141876240000.0,76.4041651355,109668239999.99998,20.766447709327
171,000597,东北制药,6.59,-1.494768310912,46.8697482,95.45006719,2.19948813,0.024698616835,1.09789626,9.65516637,化学制药,0.08933795,3.05,402.551773546899,3.0149606,1434316265.0,2.0797191296,6569422153.84,1336654741.0,70.7743152709,128138875.0,53.56,9150937770.7,38.647042498,8527857247.58,0.422026480812
172,000598,兴蓉环境,4.88,-0.408163265306,8.93830481,9.75138767,1.00266857,0.590650111718,2.0459328,4.4824714,公用事业,0.46049272,9.81,10.970258993478,4.8670121,2986218602.0,28.5161793399,4941660478.23,2969228602.0,58.9368828942,1375131926.24,7.96,14602608963.779999,45.3740055291,14519527863.779999,3.117274682549
173,000599,青岛双星,4.14,-1.66270783848,-5.35505798,-10.55729565,1.31496584,0.003354134408,0.87745702,1663.93568336,橡胶制品,-0.562020948,-17.0,-210.395704725148,3.1483708,816792487.0,-16.1594538574,3035463181.92,816744457.0,72.821141916,-459054488.21,-5.56,3406024670.79,0.6677634692,3405824385.69,-0.381425598091
174,000600,建投能源,5.16,-1.901140684411,-7.80161941,-4.18259586,0.930869,0.006964999501,0.50942273,8.43856478,电力行业,0.159256879,2.93,138.558597838014,5.5432075,1791626376.0,3.2163084891,13834066770.93,1090044126.0,66.4995614066,285328824.79,24.72,9406038474.0,13.1585129299,5722731661.5,1.604476309306
175,000601,韶能股份,4.6,-2.335456475584,381.14780557,179.63545398,1.04726213,-1.341739193984,1.30289292,10.33759064,电力行业,0.117128977,2.68,-10.361107009722,4.3924056,1080551669.0,4.3275465278,3011731838.62,1079882262.0,60.8084552088,126563911.13,29.9,5046176294.23,20.759655053,5043050163.54,1.107357666466
176,000603,盛达资源,12.52,-1.33963750985,21.46127531,20.48535155,3.04413099,0.399088059205,4.56603163,10.28775159,有色金属,0.319064863,8.07,-8.012552058717,4.1128322,689969346.0,23.365041454300002,1219172796.45,588809719.0,38.8297488511,220144975.11,29.38,8624616825.0,48.4621628132,7360121487.5,3.692356239621
177,000605,渤海股份,5.99,-1.963993453355,403.10584183,184.64150434,1.00710404,-10.066322595368,1.18050999,13.51072643,公用事业,0.029741138,0.5,-37.152571511227,5.9477469,352658600.0,1.4162699204,1172117903.6,337643688.0,65.889374922,10488468.19,151.81,2123004771.9999998,22.0206247816,2032615001.7599998,1.676800468215
178,000606,*ST顺利,2,-0.497512437811,-2.43626024,-2.435587,-4.68295878,-0.102952145521,19.19740791,-18.14791645,互联网服务,-0.102571525,-27.29,0.22074380477,-0.4270804,765799353.0,-155.9484518257,51203924.05,765799353.0,179.547569399,-78549207.84,-14.7,1539256699.5299997,18.3680706987,1539256699.5299997,-3.904626415857
179,000607,华媒控股,5.28,-1.123595505618,56.60111644,45.80634375,3.48529702,-0.996122660598,2.94646439,16.46709528,文化传媒,0.054413078,3.66,-28.775501648414,1.5149354,1017698410.0,5.145700282,1217988090.94,884917794.0,51.5154296458,55376103.06,73.6,5434509509.4,22.0092325142,4725461019.96,0.708112600284
180,000608,阳光股份,3.34,-1.764705882353,49.63082844,38.97221023,0.80919853,-3.867710787761,4.66167238,7.78857192,房地产开发,-0.00067568,-0.02,-103.811045002496,4.1275409,749913309.0,3.9415806473,305405202.31,749801859.0,33.4901716198,-506701.73,-3773.97,2549705250.6,65.0995233599,2549326320.6,1.996666146327
181,000609,中迪投资,6.24,-6.306306306306,-5.25641949,-4.9707898,2.43454453,0.211785645333,1.62417456,9.24564998,房地产开发,-0.323634403,-11.88,17.408229930314,2.5631078,299265522.0,-23.1582453226,418220884.53,292089147.0,71.173439416,-96852618.43,-14.81,1912306685.58,3.2480724427,1866449649.33,0.96104542701
182,000610,西安旅游,20.04,9.989023051592,-39.46896689,-64.93140924,6.43366344,0.154688557315,9.12216954,-33.96836772,旅游酒店,-0.34159738,-10.4,-139.734152306581,3.1148661,236747901.0,-23.329367535699998,381617635.9,235421894.0,64.8852973867,-80872462.8,-42.24,4555029615.24,-1.7160320551,4529517240.559999,0.223941326517
183,000612,焦作万方,5.22,-1.509433962264,27.94470348,15.69082776,1.16287456,-1.694083958442,1.03645199,17.48760852,有色金属,0.295413738,6.73,-33.057492169351,4.4888762,1192199394.0,7.112139397300001,4951985047.18,1190782269.0,30.9562518565,352192079.49,13.23,6211358842.74,4.765482841,6203975621.49,1.776959008687
184,000615,奥园美谷,8.58,10,-12.03630747,-26.45327832,5.04479135,-0.093038924363,5.6432451,-57.25821955,美容护理,-0.118449508,-6.7,-143.862347417761,1.7007641,781180319.0,-9.8947033353,1091195042.45,779739917.0,54.6834410835,-92530424.48,-52.81,6515043860.46,22.8956940786,6503030907.78,0.799390217113
185,000616,ST海投,1.82,-0.546448087432,32.25205563,57.67347396,0.52595422,-3.222111967883,55.25653757,-89.71782263,房地产开发,0.068784145,2.12,56.645872087472,3.4603772,1430234425.0,310.8543016336,38026518.88,1430234425.0,9.0069451527,98377451.51,19.95,2617328997.75,36.9562305831,2617328997.75,2.036771852419
186,000617,中油资本,5.61,-0.70796460177,13.37312743,12.778474,0.74100577,-0.568858973503,2.25199635,1.37068943,多元金融,0.393159118,5.27,-4.730430494576,7.5707913,12642079079.0,1805.9006144165,23300764809.09,12642079079.0,82.1981463365,4970348656.15,10.72,71048484423.98,29.0979950356,71048484423.98,2.656411833118
187,000619,海螺新材,6.29,-1.71875,-21.54409545,-15.78427412,0.98912081,0.016497423506,0.44834879,-30.52538059,装修建材,-0.031111663,-0.49,77.398027657313,6.3591828,360000000.0,-0.0740511996,4113387123.76,360000000.0,49.520210753,-11200198.62,-151.63,2264400000.0,8.6748733084,2264400000.0,3.441378589944
188,000620,新华联,3.76,9.941520467836,-1.98935299,-1.83190414,6.07135145,0.00602938123,0.90431793,3.14731853,房地产开发,-0.780305506,-77.32,17.231174614048,0.619302,1896690420.0,-47.2643706945,3117998898.25,1896624195.0,93.0956514965,-1479997978.21,-3.67,7245357404.4,16.4856386575,7245104424.9,-0.854947121017
189,000622,恒立实业,4.13,-2.823529411765,-901.85893774,982.79091197,8.93726814,-121.474266441067,10.07121404,10.06589452,汽车零部件,-0.026025522,-5.48,-50.927065591874,0.4621099,425226000.0,-8.16317187,135568979.39,425226000.0,37.9243123859,-11066728.79,-121.9,1798705980.0000002,3.5218180969,1798705980.0000002,-1.002481281977
190,000623,吉林敖东,15.06,1.073825503356,18.08648391,9.83740311,0.70857354,4.599544450048,6.6898503,102.21604113,化学制药,0.757053978,3.5,-47.978803090741,21.253969,1163047799.0,46.3760233445,1912824062.19,1159253747.0,14.5303939478,880489963.14,14.88,17468977940.98,50.2384934948,17411991279.94,15.19021088215
191,000625,长安汽车,12.29,-0.566343042071,16.34540119,34.32517212,1.97241818,1.897089639027,1.09564684,29.89310302,汽车整车,0.695430129,11.71,130.593310295714,6.2309302,9921799422.0,8.0432985108,85351624483.14,7604420121.0,56.9006676838,6899918252.01,13.43,123526402803.9,20.3199589051,94675030506.45,4.134505732362
192,000626,远大控股,9.24,-1.492537313433,36.2508008,21.16942645,1.55494438,0.084040708306,0.05655916,9.0863507,贸易行业,0.237933489,4.11,-43.284498942875,5.9423347,508940464.0,0.25879966769999996,61661629248.21,500166335.0,63.2680411999,121093980.48,29.44,4753503933.76,0.6913516544,4671553568.9,2.395089213264
193,000627,天茂集团,3.08,-2.53164556962,42.76629529,32.32780161,0.71696111,-1.71847618501,0.29306197,2.75496721,保险,0.048093845,1.09,-32.593096550457,4.2959094,4940629165.0,1.1657003434,37829601508.98,4552504165.0,87.5229854419,237613853.76,49.12,15562981869.75,0.0,14340388119.75,1.323789943247
194,000628,高新发展,11.03,-0.541027953111,30.10072595,23.78753986,2.37074367,-1.490486069639,0.61598625,-8.52788883,工程建设,0.235709075,5.19,-29.208174386522,4.6525485,352280000.0,1.7471326308,4132070482.75,192074040.0,84.8731473698,83035593.05,35.19,3896216800.0,9.1244614816,2124338882.4,0.985108752668
195,000629,钒钛股份,4.69,-2.087682672234,27.97189541,30.3866915,4.57808714,0.035208705717,2.77497163,15.2673055,钢铁行业,0.142674289,15.02,10.301061217174,1.0244453,8602447902.0,11.0478904676,11387232363.26,8589431322.0,21.3509636907,1227348135.65,24.76,40517529618.42,17.9191682541,40456221526.62,-0.501314363687
196,000630,铜陵有色,3.08,-0.645161290323,12.90379458,10.45377303,1.30873585,0.041573680813,0.27246811,3.19106264,有色金属,0.17677126,7.73,-24.038694359368,2.3534161,10526533308.0,2.3737584012,88681548207.1,10526380475.0,50.8560670761,1860788560.51,13.24,32842783920.960003,5.4594308379,32842307082.0,0.734247596449
197,000631,顺发恒业,3.34,-2.052785923754,65.0365369,85.02842395,1.3316268,-1.403227782819,30.64510279,12.06362714,房地产开发,0.046247179,1.81,35.334834926721,2.5082103,2432519168.0,56.8025501772,208476909.33,2432519168.0,33.5458167585,112497150.31,54.49,8173264404.48,49.9573429473,8173264404.48,1.093102882686
198,000632,三木集团,4.48,-1.969365426696,131.04739912,81.68722732,1.45351683,-5.1051539865,0.18221768,11.03215,综合行业,0.032879793,1.07,-38.584944705139,3.0821797,465519570.0,0.0479875326,9034141746.63,465431606.0,82.8965222815,15306187.3,103.33,2108803652.1000001,3.5392827852,2108405175.18,0.697502926397
199,000633,合金投资,8.06,-1.707317073171,388.28829975,928.10751622,17.76123564,-2.526833375194,14.33653513,-490.85370686,小金属,0.017251984,3.87,233.143098482969,0.4537973,385106373.0,4.051296642700001,163993149.5,385103523.0,31.7538742531,6643848.96,351.7,3115510557.57,13.3430378566,3115487501.07,-0.8363161438
200,000635,英力特,8.65,-2.480270574972,-8.70477027,613.48236885,1.04712825,4.283470292637,1.36717434,81.85315445,化学原料,-0.464859986,-5.47,-185.617794178879,8.2606882,304610502.0,-9.519480411,1487489102.1,303087602.0,18.6560879445,-141601233.69,-14.0,2644019157.36,0.592673292,2630800385.36,0.701468929065
201,000636,风华高科,14.9,-2.230971128609,45.77889318,18.27928002,1.43683644,0.265607011573,4.28974986,39.99641881,电子元件,0.270367528,3.19,-64.426289219565,10.3700042,1157013211.0,10.8554798085,2918894480.95,1078476180.0,24.3932714642,312818802.18,41.17,17170076051.24,19.9930616663,16004586511.2,2.569677694035
202,000637,茂化实华,5.28,-1.308411214953,53.2594949,33.45107709,2.63549518,0.044645482572,0.39182877,3.76840493,石油行业,0.008937574,0.45,-86.787097457519,2.0034186,519875356.0,0.625859759,5133052851.97,368004142.0,59.204995832,4646424.23,447.27,2770935647.48,4.6455414196,1961462076.8600001,0.484003168656
